,model_name,model_type,timestamp,description,Loss,Accuracy,Specificity,Precision,Recall,F1,FNR,TPR,FPT
0,20221123_Pfs_str_tuning_covInceptionResNetV2_lr0.0001_atvtanh_Adam.h5,re-train,2022-10-28 07:00:00,initial_model,0.517639816,0.800000012,0.654847443,0.791440248,0.791440248,0.791440129,0.208559781,0.791440248,0.208559781
1,20221029_Pfs_str_tuning_Inception_resnet_v2_actTanh_lr0.0001_Adam.h5,transfer-learning,2022-10-29 07:00:00,,0.879088938,0.808510661,0.657642007,0.788541675,0.788541675,0.788541615,0.21145834,0.788541675,0.21145834
2,20221029_Pfs_str_tuning_covInceptionResNetV2_lr0.0001_atvtanh_SGD.h5,re-train,2022-10-29 07:00:00,best_model,0.427183181,0.808510661,0.694093943,0.788541675,0.788541675,0.788541615,0.21145834,0.788541675,0.21145834
3,20221105_Pfs_str_tuning_InceptionResNetV2_actrelu_lr0.001_Adam.h5,re-train,2022-11-05 07:00:00,best_model,0.382980704,0.877551019,0.806271076,0.892463207,0.892463207,0.892463207,0.107536763,0.892463207,0.107536763
4,20221105_Pfs_str_tuning_Inception_resnet_v2_actTanh_lr0.1_RMSprop.h5,transfer-learning,2022-11-05 07:00:00,,2.539413452,0.591836751,0.560377955,0.632352948,0.632352948,0.632352889,0.367647052,0.632352948,0.367647052
5,20221112_Pfs_str_tuning_Inception_resnet_v2_actRelu_lr0.1_SGD.h5,transfer-learning,2022-11-12 07:00:00,,2.00648284,0.90196079,0.883622587,0.900493383,0.900493383,0.900493383,0.099506579,0.900493383,0.099506579
6,20221112_Pfs_str_tuning_InceptionResNetV2_acttanh_lr0.0001_SGD.h5,re-train,2022-11-12 07:00:00,best_model,0.304001302,0.921568632,0.815471649,0.916118383,0.916118383,0.916118383,0.083881579,0.916118383,0.083881579
7,20221119_Pfs_str_tuning_Inception_resnet_v2_actTanh_lr0.5_SGD.h5,transfer-learning,2022-11-19 07:00:00,,0.601613402,0.641509414,0.559032917,0.621279776,0.621279776,0.621279716,0.378720224,0.621279776,0.378720224
8,20221119_Pfs_str_tuning_InceptionResNetV2_acttanh_lr0.0001_SGD.h5,re-train,2022-11-19 07:00:00,,0.710383713,0.773584902,0.696689487,0.77976191,0.77976191,0.779761851,0.22023809,0.77976191,0.22023809
9,20221126_Pfs_str_tuning_InceptionResNetV2_acttanh_lr1e-05_SGD.h5,re-train,2022-11-26 07:00:00,,0.590782702,0.727272749,0.621918857,0.722826123,0.722826123,0.722826004,0.277173907,0.722826123,0.277173907
10,20221126_Pfs_str_tuning_Inception_resnet_v2_actTanh_lr0.1_SGD.h5,transfer-learning,2022-11-26 07:00:00,,1.619861722,0.581818163,0.467766762,0.573369563,0.573369563,0.573369503,0.426630437,0.573369563,0.426630437
